Emotion,Text
joy,time sister first baby happy joyous stayed two day marriage child
surprise,ganna two faced close basically best friend ganna get shit come find
anger,onlooker first thought accident part show creased laughter making poor man even irate
joy,student institute degree one professor called convocation told got first rank university tomorrow
fear,luggage checked custom
joy,n sure stomach tolerate smh rt get eat house tomorrow
anger,bus driver failed stop pick bus stop
sadness,received news passed away depended heavily guidance running daughter buisness
joy,pleased responded positively
joy,went buy bicycle father wanted pay father took purse payed
sadness,mari people speculating sheriff dy next week might cry want
joy,last night chat fellow student known half year first time speaking meaning inspiring discussion encounter
joy,know looking forward break everything baking knitting shopping sleeping sketching amp family amp friend
sadness,break pretty much already normal weekend
anger,oh god stop talking already late come panic attack
joy,undergo final examination secondary school lived together girlfriend afraid fail passed
joy,lunch pizza time go workout
sadness,deeply depressed spiro make several rambling statement money problem
joy,pumpkin pie cup spoon latin music learning dance red amp white dear old friend home
disgust,handshake nah pas would rather finger nail yellow horn plate call
anger,love go thirsty anymore without running square started bringing first place
joy,love excitement opening new apple product first time
sadness,examination result satisfactory even though tried best started wondering ability major subject however know choose major subject change
joy,kicked room right guess staying basement week
fear,reality may anxious worried showed
sadness,need write word essay tomorrow another friday
joy,school boring today skeptical annoyed undecided uneasy hesitant
fear,teenage psychology nothing common thing see every day h drama
sadness,high expectation future pursue subject manner attain
anger,drinking glass water found cockroach walking glass
fear,remember quot took land thanks much quot day winning war terror amazing margin keep people
sadness,focus inconsolable grief inspires poetry literature symphony song
joy,forced watch football game tv screen spilt half
joy,birthday gift kid chewbacca thor hammer book tin tin
surprise,upon arrival nonplussed find yard building deserted
joy,far much make list sacrifice life unto
surprise,oh goodness got scared scene squirrel jump tree movie hysterical
surprise,going punch face second look read
sadness,first got inkling little far worse none became melancholy miserable
joy,love article autism old son autism huge blessing household
disgust,really feel sick stomach right
sadness,khloekardashian song middle school elementary name called still hurt day
joy,good morning john
joy,great great day happy face smiley standing firm today
joy,finally get home long day shopping mom tell going church
joy,love giving gift others least family
fear,afraid tomorrow seen yesterday love today le
joy,going crawl bed tweet finger
joy,staring piece paper hour still learned anything
sadness,phone network call text whatsapp work home
anger,cool got phone taken away see michael
sadness,anguish must shown face voice
sadness,got package parent without even small note enclosed
fear,retweet revrunwisdom afraid tomorrow seen yesterday love today le
joy,overload christmas spirit
sadness,switched iphone idea got delete bbm contact
anger,taking care life solve life full problem
joy,christmas light put
joy,want know know winter lip chapped hair static
fear,franco became alarmed told put money away immediately
sadness,grandmother died suddenly without warning
joy,cycling work whilst others stuck car bus moving box xxx metre ground
joy,met mother month absence
fear,stanley spencer war experienced horror vulgarity war
anger,cold bus people feel need open window
surprise,nervous hurriedly arranged press conference ibrox publicity machine could barely paper crack departing bos bewildered chairman
joy,gettin health card renewed hate line ups
joy,love ditched last night make feel good yu know
anger,replied briefly feeling resentful
surprise,oh thing catch guard
anger,wow much thought getting assistant
joy,fallin asleep tights someone else house fun especially whn find top
joy,quot n shelter high abide shadow quot p place would rather amp peace
sadness,sorry disappeared twitter sphere busy tweet
surprise,roar back form happens time wayne rooney
surprise,printed picture today wait work book
joy,got love gettin work time bos key running min late
joy,going make home made pecan pie thursday thanksgiving giving irish lad house taste american
anger,would better get homework practice sunday
sadness,oh yes sorry drive motorway
surprise,chuckled astonishment face
joy,met nice group student camping outside tomorrow night duke game playing card amp eating pizza rain
joy,probably go freeze as soccer
sadness,rough morning coming back work yucky day weekend
joy,sitting waiting online get supreme court
fear,big angry dog put snout arm made one movement would bitten
sadness,feel happy whole day would brilliant
fear,miss clan bila la aku bole join korang skeptical annoyed undecided uneasy hesitant
sadness,need hurry come home craving cheese dip frown sad andry pouting
surprise,love getting light turned still bathroom
sadness,go back home form ten week visit brother family
anger,hate people stupid
fear,make second movie wear ring
fear,certain night initiation
sadness,nail became miserable anxiety
sadness,yeah dude album dopeness ear drum talent voice
sadness,funeral grandmother saw mother family member cry
surprise,oh wow right someone finally waking
fear,thank much tonight truly blessing quot god give come quot
joy,shower break back international business
surprise,swimming lost night mike hot chocolate
joy,come take picture comet bear common pm happy face smiley christmas picture
joy,n damn true real
joy,girlfriend far away came place saw ran know come could see held shoulder standing behind
joy,white chocolate button heaven
sadness,live society pizza get house fireman
joy,dry day would bring bigger crowd add excitement vital third round tournament
fear,people always kind could arm smh
surprise,packing daughter stuff going dad house thanksgiving grandma uncle know laughing loud
surprise,everyone plain keychain heart quot gt
sadness,thought must careless part rt dang make word post
sadness,wish people actually realized bitch attitude actually feeling frown sad andry pouting
joy,happy tweet think joy short supply rather short use
joy,break imagine spiritual admire right telling great hugging ljb
joy,winter back time start killing mosquito otherwise useless textbook
joy,detention teaching preschool class gym full boy
anger,sister lost favourite jumper party failed tell several day happened
sadness,morning happy face smiley oh bad episode come towards end episode
anger,hahaha meant phone change time last time checked word
joy,yeah incredible work qi
joy,enjoy day today catch dream mj ames wisdom insight quote
sadness,alexei expression anguished clear wished elsewhere
surprise,picking mom airport today surprising thanksgiving dinner think missed
fear,rmmanson gabburnssmith fraudsterboosh bob would like head come saturday morning
joy,feeling better morning sitting stupid english class going meeting new job
fear,afraid something human
surprise,wait mail come tomorrow know
fear,watching tv war movie felt strong fear death threat fear loosing people close
joy,mr thatcher mastered repeated interval like mantra pleased going
joy,eating like crap care getting wisdom teeth next week
fear,nevertheless commission disquiet prevented agreeing designation
surprise,somebody say expect unexpected slap face say bet expect
anger,kisling livid help friend managed grab sculptor throw stairwell seventh floor
joy,always meet person love
anger,tell tell french fuck people computer alike hate
sadness,find go back taiwan broke two month
joy,sociology test ecstatic sweating jelly bean sarcasm
joy,fine saturday night shall gym mother
joy,really talk anybody sister phone broke
sadness,legit found two second ago drained
sadness,feel tired sick
joy,yes many opportunity grow company long well
fear,watched first time last night great performance
fear,wait watch factor
joy,got permission study place far away home
fear,got midterm exam result result average near lowest scared final exam
joy,maybe black friday see crazy people
joy,work practice coming bos mum
joy,got christmas card sparkle everywhere office today
fear,courage absence fear control fear mastery fear mark twain courage
anger,came house monday morning getting ready go school fight parking saw car flat tire
joy,able buy new car lot problem
fear,fear unknown felt fear sat entrance examination
joy,two observer exchanged amused glance wandered away tree
sadness,know trying tell truth obviously take way
fear,notice every nurse dentist around wearing yellow
sadness,bieberslov well went picture happy amp smiling thinking would amp nooooooo frown sad andry pouting
joy,evening sit talk dinner weekend try go beach hit nice restaurant go nice cafe
surprise,get called secondary school
joy,felt exam feared easy one went well
sadness,good game wish dolphin though laughing loud
joy,george grindal pleased could turn bedside cabinet take feeding glass containing orange juice
sadness,sadly aware busy would book
sadness,bieberslov money alot prob make awesome one ohhhh tonight
sadness,miss watching buehrle south side favorite white sox player
joy,work go rain wind
joy,excited seeing son
sadness,grandmother died stayed u age died remember moment funeral sat table cried
joy,macy thanksgiving day parade godfather amp come later today amc set happy thanksgiving
joy,offer queen laughing big grin laugh glass ballin b finally
sadness,sister really niece died cancer age yr took doctor age diagnosed
anger,day two owner became irked went airport inspect plane
surprise,boooooooo stole garth christmas tweet made cd
anger,would doubly furious deceived exactly way two successive men
surprise,got feeling happiness rt chance
sadness,okay right back congratulation manager approved final price
anger,believing right angry mishap matthew retreated bedroom took penknife cut painful slit hand
sadness,understood james despair enormity ruin loss edward already meaning
fear,local authority became concerned injury sustained obtained place safety order
anger,told boy friend park certain place car would ger towed away listen towed away stage finance poverty line cost u money get u week including rent
joy,thrilled pleasure diminished imagined ken pallid bandaged head shadowed screen
joy,worry never robs tomorrow sorrow sap today
sadness,feel sick thinking
joy,beautiful morning love drizzle mean one thing morning walk cancelled yay
anger,pissed work today gun right would go killing spree shoot
anger,car journey fellow student crossed way car bump roadside trunk
joy,laughing loud finally listened currently morning
sadness,hey jaimelynarmy miss new friend
anger,age parent central heating like center living room used cook heat house even dry clothes never caught cold grateful
surprise,helpful cop wow still exist
surprise,nothing cuter guy actually plan nice evening
surprise,tomorrow morning leaving disneyland staying day tweet upload pic personal video
sadness,twin kid without dimple anyway nickname mean hehe
joy,bad mean hour amp min gap class tomorrow
surprise,got quiz even know extra credit
joy,last christmas shopping today
sadness,home hold month old coz flu
joy,love morning sat talk mom thing glad sidewalk break
surprise,bring someone birthday party know fml
surprise,girlfriend end work early today
joy,perhaps imagining undercurrent nostalgia told looked beth flushed excited face
joy,world give amp world take away
joy,cool mockery deep voice turned glare hating fact seemed deriving amusement discomfort
fear,lone wolf terrorist radical ows
sadness,messaged room info tweet update
joy,last day trail however became much happier take risk although baby remained unkissed
joy,nothing school today field trip got canceled today going joke
anger,snow fucking evil bitch
joy,break take moment think something make feel warm amp fuzzy sit back amp savor ljb
anger,stock investor miffed frantic currency market
fear,scared small light green leaf look like nasty praying bug
anger,england wild storm swept country commuter infuriated inconvenienced dispute
surprise,love see present get christmas sarcasm
joy,second fav programme behind grand design made watch water elephant
joy,passed exam
joy,christmas tree wif mama
joy,going check everyone operation santa claus morning later today happy face smiley
joy,dear lord stupid thought scarlet saw camille respond surprised gratification matador bull blindly turned flank
anger,school couple year ago acquaintance told lie teacher told friend overheard conversation
fear,tear hold value drop one every single thing showed u
joy,met girlfriend seeing several month saw discotheque like discotheque went knew would meet
surprise,got td end half take lead
joy,alright done tweeting marcel happy face smiley follow surprise hoe happy face smiley
anger,want destroy something point cop would arrest probably burn house rage
sadness,phone version quot rt mission impossible ghost protocol quot
surprise,haha make somehow camille happy face smiley worry
anger,according sheila caan enraged charged
joy,plan christmas break shut room play knight old republic mass effect nothing else besides food
joy,swim practice start back monday meet tuesday
sadness,nice dream someone want meet dream
surprise,think begging mh contact hurt still amp tweet
joy,root canal time
anger,ended finding later night saw another man club near home
anger,hate people real come like kidding
joy,hot water bottle cup tea amp lovely coursework
joy,awkward stage junior year
fear,large sum money afford lose
fear,first public appearance front big audience
sadness,feel kind way nostalgia tweet frown sad andry pouting
shame,time time brought small present coffee sugar although always slightly shy embarrassed giving
anger,shrug shoulder matter mad get duff stuck bed hard cheese
fear,father drinking feared went bed night
sadness,sometimes spend night watching youtube clip old game
joy,twin bed sweating as listening snoring
sadness,athelstan mouth thumb gazed directly cranston sorrowful face
joy,trick boy distant friendship david much happier
joy,ha morning real team
sadness,took exam expecting class even though done well result came felt sad missed class mark
fear,driving night realized car following u
joy,chuckled delighted amazed
sadness,honestly want keep dancing foot hurt frown sad andry pouting
fear,day university result came excited scared failed know would want work family ambivalent
sadness,seriously kitchen someone watching football texting back
anger,woman worth worth effort
anger,sit together listen music
joy,new pg module found teaching next semester risk
joy,yeah got much pressure company wrapped upon work
sadness,two fire alarm taking away lounge sleep
surprise,riding first time idea cool hybrid
joy,weekend consists various related thing
fear,want remembered black friday go store push kid look eye say quot remember quot
fear,revrunwisdom afraid tomorrow seen yesterday love today le
sadness,last night flying back home tomorrow
surprise,mom dirty since march fucked
anger,sick people suck eachother time
joy,love work hit extra added shift tomorrow
fear,without another word bert rafferty gently picked frightened child made towards cliff
anger,going start going bed early good day time turn bad night sarcasm
joy,guess love day laughing big grin laugh glass laughing big grin laugh glass
joy,creation joy creation know nature joy quote
surprise,want let parent know gay tell christmas dinner
joy,fell asleep woke back news lockout look like clipper game season
sadness,stop coughing stop sneezing vomited blood last night sorry coughing
disgust,got told biggest laughing loud ever people change
joy,excited hour work presentation
joy,suppose snow today
sadness,people r talkin shit selena sad mk kelly r sad cuz got trouble sad
joy,first order today stop walking around like put pant ah simple life
joy,heard passed second year exam
fear,happened originality everybody following trend nobody want step box bitch
joy,yeah right must stop complaining stick every day
fear,drink water kidney sick frown sad andry pouting
fear,word quot revrunwisdom afraid tomorrow seen yesterday love today le quot
surprise,developing browne film today
fear,often feel frightened often put vulnerable position
surprise,beyonce jay expecting twin got damn famous kid going whole time hope dnt even music
surprise,practice tonight need find new music competition season bitch thought got rid back wink smirk
sadness,inconsolable found would done
joy,normal morning since year tear happiness
surprise,find quot nice quot girl actually fucking bitch
sadness,washing machine working
fear,premature wrinkle amp grey hair
sadness,sign jose reyes seeing another loss season
sadness,driving past house knowing
anger,wanted something happen
fear,afraid first boyfriend threatened make end relationship love enough loved much
sadness,missed victoria fashion show soccer
anger,lenin furious learned
sadness,oh sorry interrupt calling say goodbye awfully sorry tell afraid could see airport tomorrow attend important meeting
joy,like god breathe life u u thru day
sadness,kept trying get back lugubrious face reclined morosely good hand guest filled air around cultivated noise
anger,actually believe believe characteristic follow darkness
fear,sexually assaulted rape passionate kissing friend father stopped driving home wanted lift refused time felt would rude refuse really afraid might
anger,wanted pay ticket twice said one date
surprise,ranked best indian city live agree surprise
joy,lift hand say quot father lift hand thee help know quot god cover zone faith
sadness,informed magic printing fancy ticket year season ticket holder
surprise,incredibly tweet screen shot business presentation
sadness,producer must believe ability succumb despondency
anger,taking larger perspective anger help control
fear,girl anger silly question make sweat temperature near thrill youprefer
joy,seein folk overcome limitation seeing dream capacity compass
fear,brave enough ta b born da world none
sadness,nothing done everything gone wish could tell differently happened happened figure way move
surprise,ready kidnap frisbee chucking granola munching wearing tripping evening bos
joy,come back miss jungle jonathan delight per usual
sadness,want feel lovely feeling inside love
anger,let go anger acid burn away delicate layer h p p n e creativator
joy,honored thought ask
surprise,dude told johncmayer said cancer
joy,oh wait multiple test tomorrow
joy,feel like crap today
anger,took hand away still saying nothing felt slightly hurt resentful
joy,enjoy amp share gift amp workout together family love workout mom
anger,accused done something got angry
fear,faith come hearing word god rom replace faith speaking god word say
surprise,book getting someone christmas originally written german explains everything
joy,irritated want go bed till talk
anger,sifted somewhat peeved remaining unopened mail
joy,nothing compare feeling lord wink smirk
fear,right act civil liberty exchange war terrorism latest debate
sadness,sense rather sad writer remembers
joy,found girl love loved
sadness,bride married basketball player two day later get fired
joy,grew excited
fear,believed someone wanted take care u maybe would believe taking care gt
fear,thelastmilesq ty tweet great reminder grow want peace love acceptance feel alone
anger,spent age really good post vanished
surprise,wait till saturday night
sadness,told friend baby born partial sight first child young mother
fear,remember took land thanks much day winning war terror amazing margin keep people
fear,like sharing feeling scared run admit something
joy,happy wake work day still got lot today
surprise,martha replied left twin sister astonishment possibility occurred attractive
anger,denied job person giving political reason nothing directly professional level
fear,dnt open lot partner much letting guard yu gaf hurt reason dnt get attatched
sadness,would mah as phone die near
joy,dining center pressure washed morning right outside window
joy,bouncer glee masculine grunt background quite right timely reminder surviving thriving misogyny petty power struggle engenders
anger,hate
anger,friend started shout called old
joy,joy remember told earlier putting
fear,watched dismay hit floor bounced eight dusty oblivion
surprise,wait ruin dance show
fear,losing one softness heart islam
fear,find someone know treat amp someone whose biggest losing
fear,really hate driving water
fear,motorcycle accident two people involved running road broke arm
joy,truly glad wonderful ahead peter turnbacktogod jesustweeters
fear,afraid tomorrow seen yesterday love today le
anger,cross honest spoke night
joy,thanksgiving break finally started get look forward exam get back
surprise,welcome jesus main priority set unexpected soulmate
sadness,sorry sir table main dinning room left
joy,last concept research paper excited finish
joy,air con broken train
surprise,mobile music dj headed secret location wink smirk
surprise,sometimes dysfunctional friend turn one god strange sense humor sometimes
joy,shat physic ochem final get relax calc
fear,courage mastery fear absence
sadness,sorry sir
surprise,wow alone fourth row today
joy,waking early tomorrow finish assignment
sadness,well become friend couple older boy band one night last weekend came home really late way past
joy,really hate weekend morning rehearsal fever
joy,tomorrow still go school get business book
joy,sweet class happy face smiley study dumb chem test tongue sticking cheeky playful blowing raspberry
anger,got know reaction friend mine certain situation expected react way
anger,found cousin killed angry world murderer worst hateful day life
joy,morning early morning glow beauty
fear,faith voice god fear voice satan listen two voice make u
sadness,damn even buy bottle home
surprise,need idea get xmas buy calculator really need one
sadness,fifa tournament boy milan city eternal sadness
joy,know sound lame really tired got get hour
joy,call good recipe turkey
fear,edouard looked felt sickening dismay
anger,informed decision resentful refused permission return home anne made displeasure plain
sadness,last year worked summer holiday studied time examination repeat boyfriend went greece holiday month
joy,cheerfulness delight still alive made charlie feel guilty
sadness,morning watch despicable since discovered never seen
joy,way wilkinson architect tonight part study
fear,relationship family poor often fear excluded group fear stronger situation argument hand
joy,oh goodness get death stare tomorrow
anger,sheffield wednesday striker livid finding back bench minute sent substitute norwich saturday
joy,traffic light failure north
joy,love lisa writing dream create life emotional physical believer
anger,furious married beneath appalled vicious attack threatens end relationship ever
joy,excitement prospect exploiting potential palpable though illusion current difficulty
sadness,even cracker mac n making better skeptical annoyed undecided uneasy hesitant
sadness,either shape job line
fear,throw huge party one show would upset start inviting random people street
fear,forcing eat right collapse stage
surprise,love mum got ticket see billy live happy face smiley
anger,began feel exasperated
joy,yes developed greater appreciation patience god always something greater store u
joy,second walk whole room get still know say kind big deal
sadness,oh wish camp day tent sport bronchitis stopped
joy,lot affection lot play
joy,work time today
fear,false evidence appearing real
joy,day line pirate made black x
surprise,totally forgot saw drake summer perform guest britney spear concert best part show
joy,thebodyshopuk month old nephew smile morning open bedroom door nothing beat xx
surprise,december big build best time year start surreal christmas special coming soon promise
joy,la la land apperently got work
joy,oh great iphone cord charge laptop outlet guess got buy new one
sadness,cold room tonight
fear,broke window neighbouring house feared mother judgement action done
sadness,sorry leave
fear,let hater hate weak killed eaten love got back thing
fear,process spotting refusing obey source true empowerment beck
sadness,missed chuck tonight feel like might cry final season greatest show world
joy,sat nov kind actual nov honor giving away
sadness,still year know one hand clenched involuntary anguish thought intolerable betrayal brother
surprise,rt follow unitednude win one special collector item giving away twitter friend rt win
sadness,really christmas version dog commercial hahaha
sadness,realized girl loved leave
joy,within month revival began overjoyed christian overflowed city street
sadness,almost every girl tl tonight
sadness,desire first go palace westminster lord greet queen mother tender condolence share grief family
sadness,candymaize aww mine uk wait month film
surprise,returned dog walking frozen face david guest expression
anger,eyesight good enough miss dersingham said exasperation
disgust,darren looking small extremely disgruntled slumped front seat
joy,worry sure better next time
sadness,summer leave town spend holiday
sadness,whole time sofia quot walker barn quot shame
fear,actually nervous amount chilli dad put salad
joy,going driving tomorrow fuck fucked christmas shopping christmas eve
anger,forgiveness heal wound free soul anger amp hatred
surprise,going wear mysterious shirt wink smirk
fear,mr carruthers said vast majority evidence acknowledged concerned mr mctear would able conclude testimony
joy,merry christmas lee
surprise,watch inbox morning big store
sadness,wed late next trip
joy,grocery shopping listening latest project inspired impromptu dance party
joy,fan great like philadelphia
joy,put cheese slice toast melted grill bean scrambled egg
joy,research project presentation day pick monday
anger,anger make clear mind seem clouded
fear,know let someone repeat greater fear shot rough
anger,found good friend roommate pay phone bill electric bill like promised let
joy,apparently pain swelling gone painkiller take steroid
joy,true happiness involves full use one power talent rt anitabondi
joy,lol really today reunion prob kick got wog function go tonight
sadness,always get super disappointed pas horse trailer horse
anger,furious mr clarke break news holding press conference
sadness,amazes adopt think sex life yet gay couple headline
sadness,woow week tonight soo great love friend especially miss
joy,cleaned room first time since july get move brother room listen play computer game night
sadness,death close relative
surprise,finnah go watch girl play one time better serving
anger,junior school started complain make lot noise duty assigned prefect cool dull
surprise,thank god mom bought snowman kit
fear,harry little worried see water supply diminishing rapidly pleased lucy enjoying
fear,lord fell kingdom land around judah make war jehoshaphat
anger,oh terrible situation traffic unbearable
joy,peace patience kindness goodness faithfulness gentleness keeping real
anger,read newspaper student fund going build new appartments refugee opinion state affair student find appartment
joy,fleet kanye ticket sorted christmas holiday future music bon iver ticket sorted work holiday perth next year
joy,spending day online chat tech support help
shame,bob became embarrassed turned back screen tapping rhythm finger side glass
joy,elf time front tv done
anger,ugh even listen fucking ipod
joy,succeeded achieving scholarship hard period financial personal physical stress
joy,ice soon thick enough skating fond winter sport
surprise,rt come home college greets shower
anger,others bit work group assignment task work
sadness,since got iphone tweet like le half amount used
sadness,training australian championship competition year injuring week
joy,brutal night going cranky tomorrow
anger,social evening father brother sister close friend father wife argument father abused friend sticking
sadness,girlfriend let badly time one week instance summed negative aspect relationship time seemed doomed fail
joy,feel good passed shower
joy,call super hyper waking
surprise,found grandpa prime minister
sadness,really want know physic give headache
anger,walked tutorial mental wind lecturer turn
fear,eerie feeling looking buy game make hesitate around corner would recommend
anger,love cut commercial every time something cool happen
surprise,service bastard quot got free wifi quot costa guy quot yeah pick quot work
sadness,lost fog uncertainty
joy,finished english controlled assessment
joy,power station today
sadness,think short time live relate period life think use short time
surprise,amazingggg day everyone actually mind early laughing loud
joy,stumbling repetition masked growing delight basic error
sadness,going miss staring angrily hallway week
anger,friend tried friendship certain friend thought improper
surprise,mom secretly hotel room booked new orleans block whole time rolltide
fear,testing new roller skate street suddenly dog ran barking direction threatening startled terribly upset
fear,cmhegan lead attack next year
surprise,season feeling especially festive year sure tune tomorrow big contest announcement
sadness,cousin keep telling education past high school bad spell make argument correctly
joy,well yes several colleague different department helped supportive consulted economic expert last week kind give valuable suggestion
fear,today tell tell act courage wonderful day
fear,midnight working alone office phone suddenly rang
joy,educating exceptional student content knowledge elementary education assessment content
fear,people rarely lazy time solution embrace vacuum
surprise,softer amp snore sometimes time happy face smiley found picture way show next time skype
surprise,hahahahah journalism party tomorrow hour making appearance
joy,follow twitter instead texting amp talking thing tweet
sadness,loss feeling many different emotion anger confusion helplessness left life soon
fear,face must registered dismay tell peter happened gave narrow smile
disgust,bench vital game prof strength depth city
disgust,cow heart friday
anger,accused unjustly
anger,angry bernard gone
fear,eyewitness told horror shrapnel rained shopper two device placed bin le ten yard apart
joy,first nephew look lot like mum
joy,never given speech front thousand people
sadness,learnt close friend going
fear,feel fear quite often feeling strong last year husband quite unexpectedly sent hospital
anger,finding girl nice class leader order go neuropsychology lecture english one
sadness,use locker airport trailed despondent sigh
fear,wat happened sat nite rem much back party
sadness,know frown sad andry pouting quite sad cry waved goodbye along others skeptical annoyed undecided uneasy hesitant better fucking accept friend request skeptical annoyed undecided uneasy hesitant
fear,fear losing husband
surprise,greysonchance goodnight sleep tight let bed bug bite tongue sticking cheeky playful blowing raspberry love lt wait friday
anger,come growing irish annoyance continued failure british ensure ruc accompanies udr operation
fear,conquered nerve thank much solzahran learning song asisang laughing loud happy face smiley
disgust,thing girl need keep personal diary best friend
fear,ability tune sound focus universal voice love
surprise,something cool taking picture disposable camera knowing come
joy,yes madam game practice timee
joy,disappointed sore going long day work tomorrow starting
joy,mother daughter bonding day
fear,drake still realist song ever made way explicit fake r
joy,great wendy line good ten min realized purse home
fear,ianteneh want mess doubt mcgill good school want live montreal laughing loud
joy,watch walk future hope tear eye
sadness,walking uni heavy heart
sadness,watching old lady running street catch bus miss reminded mother dreadful would situation
surprise,celebration family small gift crazy rhyme amp package wink smirk singing load yummy sweet heart
surprise,would lose umbrella last week class
joy,met amazing people weekly meditation tonight received unexpected gift teacher
joy,thank
joy,quot people like make easy walk away quot division
joy,man going around gave special present
joy,sound like good idea try
surprise,got silver math challenge certificate
joy,julia question line defence lawyer taking acute anything ever asked david filled relieved delight
sadness,basically settling fact going
joy,traveller might get used sense learn live might find progressively irksome initial excitement travel begin wear thin
sadness,moment get thru whole timeline amp hit refresh amp like quot dang read quot rt ya know feeling laughing loud happy face smiley
fear,walking park night dark late began hear foot step around u could find way
joy,matthew quot seek ye first kingdom god amp righteousness amp thing added unto quot acronym
joy,track practice today
disgust,horse abandoned trace hour utterly disgruntled
sadness,felt sad friend mine failed final exam could accepted institution learning
anger,certain boy went saying girlfriend wrote insulting letter called name
joy,moment get another follower cheer
fear,probably realise closest ever death dizzy
anger,got bad cold father said must crazy go motorbike temperature answered care cold said care anything could leave second time said something like
joy,surprise music waiting soooo long lolol thought would never go away happy face smiley
anger,show annoyance intimidating facial expression backed sparse selection adjectival punctuation invariably using f word us considerable effect
fear,ballot box check rt revrunwisdom afraid tomorrow seen yesterday love today le
fear,prepared exam wanted sleep night exam
joy,headed church watch girl dance amp hear choir sing
surprise,privately confess initial sense utter bewilderment necessity drive adapt new way life
joy,doctor office waiting hour
sadness,feel bad today frown sad andry pouting desperate need hug
joy,walk around school mum amp sister pretending interested level shit two hour
fear,affect reasoning even brave men lose courage time injured exhausted
sadness,bed time oh wait phone call
anger,recently good friend called needed something never said thank kind word
joy,awh stop making want come hospital amp see send pic
sadness,monkey free drink salsa hip hop fist pumpin cab see call long walk home
surprise,understand apparent stupefaction party
joy,long day work school tomorrow
joy,exactly want thank
anger,felt treated unjustly teacher
joy,christmas got know girl relationship could holiday therefore big surprise get carefully present relationship grew closer
anger,boyfriend would dance graduation night thought could dance friend friendly
anger,trouser zipper open public wedding
fear,know book either anxiety fear amp depression thank amp god bless depression
fear,doubt idea causing great disquiet among branch management staff
anger,tonight one hadley victim described anger towards relief would found guilty
joy,tear pure satisfaction day hahahah
sadness,woke finish paper effect grade whether turn
joy,da month sleeping schedule get fucked amp exam studying happy face smiley
joy,feeling get prayer answered hear one person longer hear
sadness,tell bad feel right quitting smoking frown sad andry pouting
fear,quot revrunwisdom afraid tomorrow seen yesterday love today le quot
joy,wear skirt tomorrow high going
joy,right love much
anger,bored
surprise,dad met nice french canadian surprise hehe jk laughing big grin laugh glass shannonrachel laughing big grin laugh glass
anger,whoop already tweeted yes twitter ik wanted tweet
joy,heading bed early take art history final
joy,horoscope said would money coming way today look like truee fact
anger,said something boyfriend disagreed walked away without discussing bothered became angry treating way yesterday november
surprise,whore want extra meat
surprise,going love going help pas precal test tomorrow happy face smiley
fear,first important truth voter spirit dismay recent economic political error forgetting immense tory achievement preceded risk
anger,family told leave willing accept condition imposed
anger,cloud angry man e f e battle well life maxim creativator
fear,toocrazyfox people blacksheep also scared shadow one lurks darkness mystery
joy,lazy sunday afternoon mass tonight
sadness,fuck man another great one bite dust rip patrice joerogan
joy,sounded pleased something made two
sadness,go house cycle
joy,starting give fuck le material shit going carry eternity memory
joy,rejoice always wk advent joy may joy knowing savior birth celebrated wks fill life today
joy,butcher sack beautiful beef bone roasting stock
sadness,know hurt sinking honestly miss ever
surprise,dolphin settle field goal
sadness,remembers anguish disapproval comforting security guardian
surprise,feeling slightly rough pleased end
joy,open great know til
surprise,love mom come guest speaker
sadness,never fail get sick dead week frustration mybodyhashorribletiming
sadness,thts life quot hate love someone walk act like nothing ever happened cry quot
sadness,mother death
joy,march received world champion ecstatic crowd winning cricket world cup first time
fear,sachalan free expression revolution
joy,honestly believe think right sick reading question got study marketing exam tomorrow
surprise,oh goodness black white cat room nice
sadness,know last week gave lie busy
joy,guess walked last math class ever attend joy joy
joy,life break making homework
joy,optimistic might actually fall asleep
fear,hear factor back air
anger,well might pinch eyelid lose
joy,friend came unexpected visit
surprise,searching cell room find call ring pocket pant
joy,person seen long time called invited party
joy,vintage visitor competition prize voucher spend beauty queen saturday vintage
fear,go dentist touched tooth drill terribly afraid pain would feel moment
joy,sing old people tomorrow
joy,invitation spend day seaside expense paid
anger,thing dat destroy person
joy,guess sleeping tonight
fear,examination
joy,happy thanksgiving everyone watching macys day parade hopefully see
anger,gay guy work arguing gay men able give blood woman lower sex drive
joy,joy sharing give away go overboard get excessive
sadness,walking old mining area unwittingly disturbed wallaby flight accidentally fell deep mine shaft investigation seemed impossible wallaby get also get shaft prevent suffering slow death shot
surprise,letter room sticker look immediately thought
fear,shall find reason disquiet argument
joy,shoot due tomorrow still tornado happening outside
fear,raped friend
sadness,looking second grade math looking math miss easy day
sadness,learning spot b tches day time
fear,memory sat either also suicidal day
anger,love ra quiet hour rule sleeping fucking party okay
joy,grad school apps officially sent time final
anger,two year back someone invited tutor asked question mathematics taught however listen made feel unhappy second year entered university girl parent suggested employed daughter tutor told university homework would lot time made required tutor five day week respect anyway another child teach
joy,supposed get mph wind today already mph sarcasm think saw someone pool fly
sadness,justinbieber wish came school told boy even say hi u morning frown sad andry pouting
sadness,got bring back hunter today noon
joy,bed early class guard finally done
sadness,hold much tear back lt
anger,german resentful france attempt keep close control could automatically expected would agree join european institution
fear,let go amp stop fearing god say love amp thought create emotion life god love wakeup social
joy,babysitting red head child
sadness,grandmother died
fear,afraid going fall face common one day
anger,anger voice took aback
joy,ordered si n law gift love shopping lovely people happy face smiley giving
